time, name, version, hash_source, binaries, binaries_size
20170101032652,forge,0.9.0-2,ff86ff75b9e79294eda868c3ade4607a,"libforge0 libforge-dev forge-doc",928120
20170101032652,freedict,2016.10.22-2,cd2bf0c3f21f4b25e741719dbd93cc52,"dict-freedict-all dict-freedict-afr-deu dict-freedict-afr-eng dict-freedict-ara-eng dict-freedict-bre-fra dict-freedict-ces-eng dict-freedict-ckb-kmr dict-freedict-cym-eng dict-freedict-dan-eng dict-freedict-deu-eng dict-freedict-deu-fra dict-freedict-deu-ita dict-freedict-deu-kur dict-freedict-deu-nld dict-freedict-deu-por dict-freedict-deu-tur dict-freedict-eng-afr dict-freedict-eng-ara dict-freedict-eng-ces dict-freedict-eng-cym dict-freedict-eng-deu dict-freedict-eng-ell dict-freedict-eng-fra dict-freedict-eng-gle dict-freedict-eng-hin dict-freedict-eng-hrv dict-freedict-eng-hun dict-freedict-eng-ita dict-freedict-eng-lat dict-freedict-eng-lit dict-freedict-eng-nld dict-freedict-eng-pol dict-freedict-eng-por dict-freedict-eng-rom dict-freedict-eng-rus dict-freedict-eng-spa dict-freedict-eng-srp dict-freedict-eng-swe dict-freedict-eng-swh dict-freedict-eng-tur dict-freedict-fra-bre dict-freedict-fra-deu dict-freedict-fra-eng dict-freedict-fra-nld dict-freedict-gla-deu dict-freedict-gle-eng dict-freedict-gle-pol dict-freedict-hrv-eng dict-freedict-hun-eng dict-freedict-isl-eng dict-freedict-ita-deu dict-freedict-ita-eng dict-freedict-jpn-deu dict-freedict-jpn-eng dict-freedict-jpn-fra dict-freedict-jpn-rus dict-freedict-kha-deu dict-freedict-kha-eng dict-freedict-kur-deu dict-freedict-kur-eng dict-freedict-kur-tur dict-freedict-lat-deu dict-freedict-lat-eng dict-freedict-lit-eng dict-freedict-mkd-bul dict-freedict-nld-deu dict-freedict-nld-eng dict-freedict-nld-fra dict-freedict-nno-nob dict-freedict-oci-cat dict-freedict-pol-gle dict-freedict-por-deu dict-freedict-por-eng dict-freedict-san-deu dict-freedict-slk-eng dict-freedict-spa-ast dict-freedict-spa-eng dict-freedict-spa-por dict-freedict-srp-eng dict-freedict-swe-eng dict-freedict-swh-eng dict-freedict-swh-pol dict-freedict-tur-deu dict-freedict-tur-eng",45937718
20170101032652,freqtweak,0.7.2-4.1,eff0ec5b4eeceb179d3c4c5dd97a39cb,"freqtweak",317734
20170101032652,fvwm,1:2.6.7-1,2c9d8a59815e56a0537c79625cd58f9f,"fvwm",2525570
20170101032652,g2clib,1.6.0-4,b0a9ff5593a6e0aacec8b05920e57482,"libgrib2c0d libgrib2c-dev",92000
20170101032652,genius,1.0.21-2,642c27a02617e863e1fe2b162df2b383,"genius gnome-genius genius-common genius-dev",2652676
20170101032652,gerbv,2.6.0-1.1,690ca654f1fe28e2166297d7bb96f129,"gerbv",728272
20170101032652,gerris,20131206+dfsg-12,1626730a7ff895adcc1c88c23ce70ac2,"gerris libgfs-1.3-2 libgfs-dev",949066
20170101032652,getfem++,5.1+dfsg1-3,e729166effbabaf1c17054dda36eea08,"libgetfem++-dev libgetfem5++ libgmm++-dev python-getfem++",6952320
20170101032652,gexec,0.4-1,f10e68d5bcc206b759a2836886808d1d,"gexec",14632
20170101032652,gfal2,2.12.2-2,ce439c00d0571ab65307aa8018a75044,"gfal2 libgfal2-2 libgfal-transfer2 libgfal2-dev gfal2-doc gfal2-plugin-file gfal2-plugin-lfc gfal2-plugin-rfio gfal2-plugin-dcap gfal2-plugin-srm gfal2-plugin-gridftp gfal2-plugin-http gfal2-plugin-mock gfal2-dbg",1292958
20170101032652,ghp-import,0.4.1-1,d2fec9e1a8af58a1b2af551edc8d6555,"ghp-import",6270
20170101032652,gifsicle,1.88-2,12af94918e61f7281cb3a83e53067046,"gifsicle",144022
20170101032652,git,1:2.11.0-1,80411be82edea3a58f38db7bb9efcdfd,"git git-man git-core git-doc git-arch git-cvs git-svn git-mediawiki git-email git-daemon-run git-daemon-sysvinit git-gui gitk git-el gitweb git-all",15727702
20170101032652,global,6.5.5-1,ded27ae20dcc4518464adb1ab4e8fa0e,"global",469698
20170101032652,globus-gssapi-gsi,12.12-1,8712b29c3be74a8d1fb0ed36de326458,"libglobus-gssapi-gsi4 libglobus-gssapi-gsi-dev libglobus-gssapi-gsi-doc libglobus-gssapi-gsi-dbg",499342
20170101032652,gmt-tutorial,3.4-1.1,058f5adec38080e7287a68e6c2656a2d,"gmt-tutorial",1348030
20170101032652,gnome-builder,3.22.3-1,54c476155e716264e802d85e81a4a905,"gnome-builder",2029688
20170101032652,gnome-exe-thumbnailer,0.9.4-1,a54965c447def3713b3f445b00fb48b7,"gnome-exe-thumbnailer",46668
20170101032652,gnome-packagekit,3.22.1-1,c0efaae5f3298ce52bb027106aa2f8fa,"gnome-packagekit gnome-packagekit-data update-notifier",1840264
20170101032652,gnupg2,2.1.16-3,a8dcc4e94e910738f093668064c7ce8c,"gnupg-agent scdaemon gpgsm gnupg gnupg2 gpgv gpgv2 dirmngr gpgv-udeb gpgv-static gpgv-win32 gnupg-l10n",5886344
20170101032652,gobgp,1.13-1,ab4bbe0963ea1b9e460c1be113ce6c27,"gobgpd golang-github-osrg-gobgp-dev",6206682
20170101032652,golang-github-masterminds-semver-dev,1.2.1-1,07f286d1018e808f79c1bf4741f22461,"golang-github-masterminds-semver-dev",13170
20170101032652,golang-github-pelletier-go-toml,0.3.5+git20161123.19.7cb9880-1,ba937bd50a9916b7f2d04bd03e7b3881,"golang-github-pelletier-go-toml-dev golang-github-pelletier-go-toml",689722
20170101032652,golang-github-spf13-afero,0.0~git20161109.0.06b7e5f-1,8ac8fecdeddec62637346f5ac7e78ed3,"golang-github-spf13-afero-dev",28686
20170101032652,golang-github-spf13-cast,0.0~git20160926.0.2580bc9-1,56f9cbae32d6454e25a7a6081a3e2538,"golang-github-spf13-cast-dev",6662
20170101032652,golang-github-spf13-cobra,0.0~git20160607.0.1238ba1-1,cd3747972821871c497e86ed2f3563c0,"golang-github-spf13-cobra-dev cobra",1894528
20170101032652,golang-github-spf13-viper,0.0~git20161029.0.651d9d9-1,81249b1128192dc19d5c8481d76d8bea,"golang-github-spf13-viper-dev",23454
20170101032652,googletest,1.8.0-5,7468edd76de91e4ce9a72d327ad87843,"googletest libgtest-dev google-mock",662334
20170101032652,gpodder,3.9.2-1,ce24a11b369c1dd0533a20bcb30f0384,"gpodder",392236
20170101032652,gradle,3.1-2,6f88cf38390abb36b4aa3d9dae565ff3,"gradle libgradle-core-java libgradle-plugins-java gradle-doc",11217046
20170101032652,gradle-debian-helper,1.4.4,5a5507cd11ecb77d284891b7a2a1201f,"gradle-debian-helper",22610
20170101032652,grads,3:2.1.0-1,0d1ad043127a069a6f9ea4c84f18a8b1,"grads",4174662
20170101032652,graypy,0.2.11-1,fdfd8a378ef338060cb9b7d7b542d452,"python-graypy python3-graypy",19996
20170101032652,gsl,2.2.1+dfsg-1,ce2830a98f403992244271021b4dc4fc,"libgsl2 libgsl-dev gsl-bin libgsl-dbg libgsl-prof",4294384
20170101032652,gtklick,0.6.4-4,b645edbb825a5e3b49628e7df417af84,"gtklick",33154
20170101032652,guichan,0.8.2-15,e2fb9d296c6001b6bb6d0628dd90cda6,"libguichan-0.8.1-1v5 libguichan-allegro-0.8.1-1v5 libguichan-sdl-0.8.1-1v5 libguichan-opengl-0.8.1-1v5 libguichan-0.8.1-1v5-dbg libguichan-dev",1303970
20170101032652,guile-gnome-platform,2.16.2-2,19ec3ae4a452beb9a7f404f9c68fa00f,"guile-gnome2-glib guile-gnome2-gconf guile-gnome2-gtk guile-gnome2-gnome guile-gnome2-gnome-ui guile-gnome2-canvas guile-gnome2-vfs guile-gnome2-dev",665574
20170101032652,haskell-hoogle,5.0.1+dfsg1-1,a502cce42783987f3ab951cfb94b8efd,"libghc-hoogle-dev libghc-hoogle-prof libghc-hoogle-doc hoogle",6841370
20170101032652,haskell-mode,13.14.2-1,4276a9a12e2ebe92d09b7be99a3909a1,"haskell-mode",155638
20170101032652,hdmi2usb-mode-switch,0.0.0+git20161016-1,30bed15de1c33db82010dc42ba405df6,"hdmi2usb-mode-switch hdmi2usb-udev",35144
20170101032652,hexchat,2.12.3-3,091670d5d471ed77dd35cf5a844cceb4,"hexchat hexchat-common hexchat-perl hexchat-python hexchat-python2 hexchat-python3 hexchat-lua hexchat-plugins hexchat-dev",1268052
20170101032652,hoteldruid,2.1.4-2,92792192e69846feeab1c1786525a82e,"hoteldruid",1007174
20170101032652,icinga,1.13.3-3,9a74a5e7217c0fb9aea3a66cc11d2aa5,"icinga-common icinga-cgi icinga-cgi-bin icinga-idoutils icinga icinga-core icinga-doc icinga-dbg",19583788
20170101032652,ifupdown2,1.0~git20160525-1,3f7943863836b41c51431d3b02f6c346,"ifupdown2",97350
20170101032652,ilisp,5.12.0+cvs.2004.12.26-22,df000f933089fd130b4a2ad70a583382,"ilisp ilisp-doc",574240
20170101032652,imagej,1.50i+dfsg-1,545413161fb64b519c476741d8e8bd03,"imagej",2014496
20170101032652,influxdb,1.0.2+dfsg1-1,d05f2dad7be96eba9626640088ad61d3,"golang-github-influxdb-influxdb-dev influxdb-dev influxdb influxdb-client",4845746
20170101032652,inn2,2.6.0-2,186b867ed8863ee5f13de3faa656004e,"inn2 inn2-lfs inn2-inews inn2-dev",1768174
20170101032652,iwyu,3.9-1,06b9d577e51a322bf952c7aeef4156e4,"iwyu",5922692
20170101032652,jaaa,0.8.4-2,ca1af4fa958270fa13599f032f46df06,"jaaa",38646
20170101032652,jack-capture,0.9.71-1,cc329a895ffca1ee9261a02f03c1ecde,"jack-capture",51782
20170101032652,japa,0.8.4-1,6383cb51c5ab647ed5c3288650d05556,"japa",41286
20170101032652,jboss-classfilewriter,1.1.2-1,e47210195752b2092c0a2867260125d1,"libjboss-classfilewriter-java libjboss-classfilewriter-java-doc",196944
20170101032652,jboss-logging,3.3.0-1,378fabf5baf1033f9636072cb0f55ddc,"libjboss-logging-java libjboss-logging-java-doc",271334
20170101032652,jboss-xnio,3.4.2-1,906b744e3882cf6d36233d7aa54e707a,"libjboss-xnio-java libjboss-xnio-java-doc",907098
20170101032652,jglobus,2.1.0-3,20bc9d4642d5a91e986d1cd89c653eb8,"libjglobus-parent-java libjglobus-ssl-proxies-java libjglobus-jsse-java libjglobus-gss-java libjglobus-gram-java libjglobus-gridftp-java libjglobus-ssl-proxies-tomcat-java libjglobus-io-java libjglobus-myproxy-java libjglobus-axisg-java jglobus-doc",1274932
20170101032652,jkmeter,0.6.1-3,5302346c273b6371b7c075cf7315fda4,"jkmeter",35090
20170101032652,jmeters,0.4.1-3,1ee7dc6a8854370add7d63e95f091511,"jmeters",297630
20170101032652,jnoise,0.6.0-4,99515160093603bbef95faaed9139150,"jnoise",8366
20170101032652,jnoisemeter,0.1.0-3,7a3c732a033876dd6d63c3885fcd4bf4,"jnoisemeter",21586
20170101032652,keyringer,0.4.1-1,f5226f32cf5e999ba59799cb6002b596,"keyringer",30080
20170101032652,klick,0.12.2-3,8ecd24fd7d2efc3f36e5da53ff4df318,"klick",156366
20170101032652,kmod,23-1,75aaa54af1bbb24c9ff1cd1da4432875,"kmod libkmod2 libkmod-dev libkmod2-udeb",156610
20170101032652,knot-resolver,1.1.1-41-g8437a7d-1,9d18c1880700a76b985deb82291ca4d0,"knot-resolver knot-resolver-module-http knot-resolver-doc",619762
20170101032652,kodi-pvr-argustv,2.5.0+git20160923-2,c318197ed79d2b07a0d6762040cc81e6,"kodi-pvr-argustv",144614
